idema,ene_valor,ene_dia,ene_anio,feb_valor,feb_dia,feb_anio,mar_valor,mar_dia,mar_anio,abr_valor,abr_dia,abr_anio,may_valor,may_dia,may_anio,jun_valor,jun_dia,jun_anio,jul_valor,jul_dia,jul_anio,ago_valor,ago_dia,ago_anio,sep_valor,sep_dia,sep_anio,oct_valor,oct_dia,oct_anio,nov_valor,nov_dia,nov_anio,dic_valor,dic_dia,dic_anio,abs_valor,abs_dia,abs_mes,abs_anio
0009X,826,22,2020,452,26,2016,988,24,2017,584,7,2009,410,3,2010,496,9,2010,358,1,2012,350,12,2020,1234,17,2010,2100,22,2019,1034,16,2013,606,16,2016,2100,22,10,2019
0016A,662,6,1977,465,19,2003,550,2,1969,607,23,1956,1092,29,1957,747,13,1960,506,1,1993,988,24,1976,1384,12,2006,1606,3,1955,983,3,2024,590,7,1968,1606,3,10,1955
0034X,522,21,2020,428,22,2021,590,11,2022,434,7,2009,598,10,2008,452,17,2014,270,31,2021,414,19,2010,1214,17,2010,844,14,2018,574,29,2014,328,4,2019,1214,17,9,2010
0042Y,562,21,2020,402,28,2013,492,30,2014,616,7,2009,508,31,2011,684,13,2015,676,12,2008,962,28,2020,1372,23,2022,804,9,2018,1364,3,2024,260,11,2024,1372,23,9,2022
0061X,790,21,2020,572,4,2018,958,12,2011,670,10,2018,420,24,2022,404,17,2014,392,12,2025,750,9,2009,380,29,2012,1142,14,2018,980,2,2015,664,4,2019,1142,14,10,2018
0066X,656,21,2020,402,28,2013,706,12,2011,484,21,2020,590,3,2010,328,3,2020,1554,12,2025,428,27,2019,476,29,2012,584,22,2009,406,4,2011,416,4,2019,1554,12,7,2025
0073X,224,28,2011,690,28,2013,546,21,2012,776,19,2020,524,3,2010,340,6,2018,464,24,2017,694,30,2022,838,29,2012,690,25,2024,810,3,2024,988,14,2014,988,14,12,2014
0076,879,21,2020,777,16,1982,647,24,2017,785,19,2020,1306,2,1972,712,3,1989,1560,29,1959,940,31,1963,1867,25,1953,1751,3,1987,1442,4,2024,1062,5,1971,1867,25,9,1953
0092X,782,21,2020,488,4,2018,510,24,2017,456,29,2021,602,29,2012,934,9,2015,752,23,2025,1466,28,2020,822,21,2020,596,14,2018,934,2,2015,406,19,2019,1466,28,8,2020
0106X,472,21,2020,296,28,2018,644,24,2017,470,29,2024,564,14,2011,516,29,2023,544,12,2025,448,22,2014,772,14,2014,1100,14,2018,724,3,2011,174,22,2009,1100,14,10,2018
0114X,696,21,2020,372,13,2017,530,24,2017,380,30,2023,482,24,2022,496,28,2018,650,23,2025,1034,28,2020,928,9,2016,670,22,2019,694,3,2011,222,19,2019,1034,28,8,2020
0120X,806,21,2020,855,13,2017,714,24,2017,504,10,2018,638,14,2011,564,28,2018,706,3,2025,546,6,2014,602,28,2014,1022,14,2018,570,2,2015,634,4,2019,1022,14,10,2018
0149X,576,21,2020,288,4,2018,500,12,2011,482,29,2024,388,24,2022,772,29,2023,598,14,2019,477,27,2005,556,29,2012,642,14,2018,410,7,2020,530,4,2019,772,29,6,2023
