idema,ubi,lon,lat
0009X,ALFORJA,0.963335,41.213892
0016A,REUS  AEROPUERTO,1.163611,41.145
0034X,VALLS,1.260838,41.293053
0042Y,TARRAGONA  FAC. GEOGRAFIA,1.249167,41.123892
0061X,PONTONS,1.519269,41.417052
0066X,VILAFRANCA DEL PENEDÈS,1.676942,41.330279
0073X,SITGES  VALLCARCA,1.852626,41.243784
0076,BARCELONA  AEROPUERTO,2.069995,41.292781
0092X,BERGA  INSTITUTO,1.857494,42.101388
0106X,BALSARENY,1.872504,41.866387
0114X,PRATS DE LLUÇANÈS,2.026561,42.007057
0120X,MOIÀ,2.09539,41.813278
0149X,MANRESA,1.84028,41.719881
0158X,MONTSERRAT,1.839223,41.594444
0171X,IGUALADA,1.617778,41.578889
0194D,CORBERA  PUIG D?AGULLES,1.885,41.408192
0201D,BARCELONA  PORT OLÍMPIC,2.200001,41.390555
0201X,BARCELONA  DRASSANES,2.173886,41.374998
0222X,CALDES DE MONTBUI,2.168412,41.612663
0244X,VILASSAR DE DALT,2.362637,41.504893
0252D,ARENYS DE MAR,2.54,41.587222
0260X,FONTMARTINA,2.431023,41.760064
0281Y,BLANES  JARDIN BOTANICO,2.805112,41.677054
0284X,CASTELL D?ARO,3.030933,41.807814
0312X,SANT PAU DE SEGURIES,2.364353,42.258444
0320I,PLANOLES,2.102774,42.316878
0324A,RIPOLL,2.196187,42.191387
0360X,LES PLANES D?HOSTOLES,2.551007,42.052837
0363X,SANT HILARI,2.513329,41.880833
0367,GIRONA  AEROPUERTO,2.763329,41.911665
0370E,GIRONA  PARC DEL MIGDIA,2.819442,41.972333
0372C,PORQUERES,2.763611,42.104444
0385X,L?ESTARTIT,3.201389,42.053888
0394X,VALL DE BIANYA,2.471827,42.210555
0411X,CASTELLO D?EMPURIES,3.093053,42.224834
0413A,MAÇANET DE CABRENYS,2.75558,42.386925
0421X,ESPOLLA  LES ALBERES,3.006114,42.389881
0429X,FIGUERES  ELS ASPRES,2.960328,42.259082
0433D,EVC_CABO DE CREUS,3.315556,42.31904
1002Y,BAZTÁN  IRURITA,-1.542961,43.135722
1010X,BERA,-1.675786,43.278691
1012P,IRUN,-1.796536,43.326407
1014A,DONOSTIA/SAN SEBASTIÁN AEROPUERTO,-1.792116,43.357075
1021X,ERRENTERIA  AÑARBE,-1.878823,43.213834
1025A,SEGURA,-2.256663,43.015553
1025X,BEASAIN  ARRIARAN,-2.232037,43.054634
1026X,ORDIZIA,-2.184273,43.058158
1033X,ARESO ,-1.950836,43.084999
1037X,LEGAZPI,-2.337095,43.051797
1037Y,ZUMARRAGA,-2.3175,43.079917
1038X,AZPEITIA,-2.267175,43.172576
1041A,ZUMAIA,-2.251035,43.302139
1044X,ARAMAIO  ETXAGUEN,-2.589645,43.057835
1048X,ARETXABALETA,-2.465715,43.02505
1049N,ELGETA,-2.495827,43.138333
1050J,ELGOIBAR,-2.413218,43.209293
1052A,MUTRIKU,-2.397148,43.31722
1056K,FORUA,-2.671184,43.342388
1057B,MATXITXAKO,-2.752762,43.453906
1059X,PUNTA GALEA ,-3.021602,43.375086
1060X,AMURRIO,-3.005452,43.050241
1064L,OROZKO  IBARRA,-2.860274,43.096333
1069Y,ABADIÑO  URKIOLA,-2.644187,43.099233
1074C,AMOREBIETA-ETXANO,-2.706153,43.202893
1078C,BALMASEDA,-3.209649,43.180575
1078I,GÜEÑES,-3.104777,43.203384
1082,BILBAO AEROPUERTO,-2.906304,43.297952
